STUDYID,Study_ID,Short_Description,Study_Description,Alternate_ID,Subject_Count,Country,Data_Status,Study_Type,Intervention_Type,Age_Lower_Limit,Age_Upper_Limit,Start_Year,Stop_Year,Population,Repository_Name,Repository_Subfolder,Study_URL
AAP-NSECH,AAP-NSECH,National Survey of Early Childhood Health,American Academy of Pediatrics National Survey of Early Childhood Health,,2068,USA,Will not be mapped,Cross Sectional,No Intervention,Months 0-6,Year 01,2000,2000,"Phone survey, nationally representative sample of children aged 4-35 mo",AAP-NSECH,2000,http://www.cdc.gov/nchs/slaits/nsech.htm
CPP,CPP4674,Collaborative Perinatal Project,Collaborative Perinatal Project birth cohort,PMID25444014,59391,USA,QC completed,Longitudinal,No Intervention,Months 0-6,Months 0-6,1959,1976,Multisite birth cohort,CPP4674,Final,https://www.archives.gov/research/electronic-records/nih.html
INTERBIO-21,INTERBIO-21,INTERBIO-21,Functional classification of abnormal fetal and neonatal growth phenotypes,,2846,"BRA, GBR, KEN, PAK, THA, ZAF",QC completed,Longitudinal,No Intervention,Antenatal,Antenatal,2012,2017,Pregnant women of varied risk profiles,INTERBIO-21,Final,http://www.interbio21.org.uk/
INTERGROWTH-21,INTERGROWTH-21,INTERGROWTH-21,International fetal and newborn growth standards for the 21st century,,4500,"KEN, CHN, GBR, IND, ITA, KEN, OMN, USA",QC completed,Longitudinal,No Intervention,Antenatal,Antenatal,2009,2012,Healthy women with a singleton pregnancy,INTERGROWTH-21,Final,http://www.intergrowth21.org.uk/
IndonesiaFLS,IndonesiaFLS,Indonesia Family Life Surveys,Indonesia Family Life Surveys,,3000,IDN,Raw Data Received,Survey,No Intervention,Months 0-6,Year 20+,1993,2008,General population,IndonesiaFLS,TBD,https://www.rand.org/labor/FLS/IFLS.html
MANA-2.0,MANA-2.0,Midwives Alliance of North America Statistics Registry,Midwives Alliance of North America statistics registry of planned homebirths or birth center births,,20786,USA,QC completed,Cross Sectional,No Intervention,Months 0-6,Months 0-6,2004,2009,Children born at home or birth centers with the assistance of midwives participating in the Midwives Alliance of North America Statistics Registry,MANA,MANA-2.0,http://mana.org/research/mana-stats
MANA-3.0,MANA-3.0,Midwives Alliance of North America Statistics Registry,Midwives Alliance of North America statistics registry of planned homebirths or birth center births,,12486,USA,QC completed,Cross Sectional,No Intervention,Months 0-6,Months 0-6,2009,2012,Children born at home or birth centers with the assistance of midwives participating in the Midwives Alliance of North America Statistics Registry,MANA,MANA-3.0,http://mana.org/research/mana-stats
MANA-4.0,MANA-4.0,Midwives Alliance of North America Statistics Registry,Midwives Alliance of North America statistics registry of planned homebirths or birth center births,,67681,USA,Raw Data Received,Cross Sectional,No Intervention,Months 0-6,Months 0-6,2012,2016,Children born at home or birth centers with the assistance of midwives participating in the Midwives Alliance of North America Statistics Registry,MANA,MANA-4.0,http://mana.org/research/mana-stats
NHANES-1999-00,NHANES-1999-00,"NHANES, 1999-2000","National Health and Nutrition Examination Study, 1999-2000",,9965,USA,QC completed,Cross Sectional,No Intervention,Months 0-6,Months 0-6,1999,2000,Population aged 0-85 y,NHANES-1999-00,Final,http://www.cdc.gov/nchs/nhanes/
NHANES-2001-02,NHANES-2001-02,"NHANES, 2001-02","National Health and Nutrition Examination Study, 2001-2002",,11039,USA,QC completed,Cross Sectional,No Intervention,Months 0-6,Months 0-6,2001,2002,Population aged 0-85 y,NHANES-2001-02,Final,http://www.cdc.go/nchs/nhanes
